Grantee,Federal Share,State Match,Total Award
Alabama,6160393,308020,6468413
Alaska,3000000,150000,3150000
Arizona,7463675,373184,7836859
Arkansas,4475015,223751,4698766
California,34558874,1727944,36286818
Colorado,6342979,317149,6660128
Connecticut,5120554,256028,5376582
Delaware,3000000,150000,3150000
District of Columbia,3000000,150000,3150000
Florida,19187003,959350,20146353
Georgia,10305783,515289,10821072
Hawaii,3134080,156704,3290784
Idaho,3229896,161495,3391391
Illinois,13232290,661615,13893905
Indiana,7595088,379754,7974842
Iowa,4608084,230404,4838488
Kansas,4383595,219180,4602774
Kentucky,5773423,288671,6062094
Louisiana,5889487,294474,6183961
Maine,3130979,156549,3287528
Maryland,7063699,353185,7416884
Massachusetts,7890854,394543,8285396
Michigan,10706992,535350,11242341
Minnesota,6595610,329781,6925391
Mississippi,4483541,224177,4707718
Missouri,7230625,361531,7592156
Montana,3000000,150000,3150000
Nebraska,3496936,174847,3671783
Nevada,4277723,213886,4491609
New Hampshire,3102253,155113,3257366
New Jersey,9757450,487873,10245323
New Mexico,3699470,184973,3884443
New York,19483647,974182,20457829
North Carolina,10373237,518662,10891899
North Dakota,3000000,150000,3150000
Ohio,12186021,609301,12795322
Oklahoma,5196017,259801,5455818
Oregon,5362981,268149,5631130
Pennsylvania,13476156,673808,14149964
Puerto Rico,3676962,183848,3860810
Rhode Island,3000000,150000,3150000
South Carolina,6040794,302040,6342834
South Dakota,3000000,150000,3150000
Tennessee,7565418,378271,7943689
Texas,23252604,1162630,24415234
Utah,4111052,205553,4316605
Vermont,3000000,150000,3150000
Virginia,9080731,454037,9534767
Washington,7907768,395388,8303156
West Virginia,3611943,180597,3792540
Wisconsin,6978318,348916,7327234
Wyoming,3000000,150000,3150000
