State,Federal Share,State Share 20%,Total
Alabama,6901560,1380312,8281872
Alaska,3000000,600000,3600000
Arizona,8362741,1672548,10035289
Arkansas,5011991,1002398,6014389
California,38740655,7748131,46488786
Colorado,7106267,1421253,8527521
Connecticut,5735740,1147148,6882887
District of Columbia,3000000,600000,3600000
Delaware,3031481,606296,3637777
Florida,21506406,4301281,25807687
Georgia,11549183,2309837,13859020
Hawaii,3508595,701719,4210314
Idaho,3616020,723204,4339223
Illinois,14830251,2966050,17796302
Indiana,8510075,1702015,10212090
Iowa,5161182,1032236,6193418
Kansas,4909494,981899,5891393
Kentucky,6467707,1293541,7761248
Louisiana,6597832,1319566,7917398
Maine,3505118,701024,4206142
Maryland,7914306,1582861,9497167
Massachusetts,8841674,1768335,10610009
Michigan,11999001,2399800,14398801
Minnesota,7389506,1477901,8867407
Mississippi,5021549,1004310,6025859
Missouri,8101455,1620291,9721746
Montana,3127978,625596,3753573
Nebraska,3915413,783083,4698495
Nevada,4790795,958159,5748954
New Hampshire,3472912,694582,4167494
New Jersey,10934419,2186884,13121302
New Mexico,4142484,828497,4970981
New York,21838990,4367798,26206788
North Carolina,11624810,2324962,13949772
North Dakota,3000000,600000,3600000
Ohio,13657222,2731444,16388666
Oklahoma,5820345,1164069,6984414
Oregon,6007538,1201508,7209045
Pennsylvania,15103663,3020733,18124395
Puerto Rico,5821405,1164281,6985686
Rhode Island,3210168,642034,3852202
South Carolina,6767471,1353494,8120966
South Dakota,3000000,600000,3600000
Tennessee,8476810,1695362,10172173
Texas,26064574,5212915,31277489
Utah,4603931,920786,5524718
Vermont,3000000,600000,3600000
Virginia,10175711,2035142,12210853
Washington,8860638,1772128,10632765
West Virginia,4044353,808871,4853223
Wisconsin,7818581,1563716,9382297
Wyoming,3000000,600000,3600000
